head,relation,tail
混凝土振捣,control_Parameter,振捣时间
混凝土振捣,control_Parameter,处理时间
裂缝扩展,cause_Problems,裂缝
螺栓,affect_compnent,环管片
螺栓,appear_on_location,侧墙
螺栓,appear_on_location,左线32环
螺栓,affect_compnent,止水带
螺栓,affect_compnent,管片
螺栓,affect_compnent,终止环管片
螺栓,affect_compnent,螺栓孔
浇筑振捣,use_equipment,振捣棒
浇筑振捣,use_equipment,振动器
浇筑振捣,use_equipment,震动台
浇筑振捣,control_Parameter,振捣时间
露筋,appear_on_location,止水槽侧面
露筋,appear_on_location,左线三十环
露筋,appear_on_location,拱腰位置
露筋,appear_on_location,左线一环
混凝土剥落,cause_Problems,浮浆
翘曲,appear_on_location,混凝土的切割端面
翘曲,appear_on_location,构件靠模的侧面
翘曲,appear_on_location,左线三十环
翘曲,appear_on_location,拱腰位置
翘曲,appear_on_location,钢筋表面
翘曲,appear_on_location,左线一环
翘曲,appear_on_location,管片侧面
键槽管片,has_Activity,养护
浇筑,use_equipment,振捣棒
振捣,use_equipment,振捣棒
端面破损,occur_at_location,注浆孔附近
端面破损,occur_at_location,端面
脱模,use_material,脱模剂
气泡,appear_on_location,侧模
粘模,use_material,脱模剂
蒸养,use_material,外加剂掺量
静停,has_parameter,静停时间
混凝土振捣,has_parameter,振捣时间
缺棱掉角,has_Measures,在养护期间，应严格控制管片的养护环境，保持养护温度和湿度的稳定，并定期检测管片的强度发展情况，养护效果的稳定和可靠
浮浆,appear_on_location,管片侧面
龟裂纹,appear_on_location,管片侧面
沉缩裂缝,appear_on_location,管片侧面
